Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
2016-01-21,90.9461287387,59.4324003237,113.24595536,54.7556295844,20.597857796,71.1531147732,89.7873198694,25.0811365727,144.297173491,111.705358597,107.760476311,27.0692792205,87.9812083387,50.8540926546,36.8600293122,108.02863245,126.810524735,46.1065905827,47.046599212,58.2587845565,27.1368553619,69.5909546922,95.3188533949,108.040225085,79.2256016538,69.9399888427,39.6055026373,56.9564102563,65.4666775679
2016-01-22,95.7814784702,52.2405485604,114.356389768,55.9389896474,21.0206085891,73.3390648754,92.5376653409,24.7740922285,149.254564021,114.065461831,107.4010117,27.3111321872,88.7240140377,52.418833967,37.4567004801,108.542006807,128.430635968,46.495943174,48.7334919334,58.5666248976,27.2522180564,70.1714840327,95.7272301767,108.830298978,79.9477702793,71.0541809512,40.6157149348,57.7019611986,67.6489001535
2016-01-25,93.9115580662,52.202596836,113.805761136,53.122776164,20.8407146346,71.012652116,91.0001458238,24.5986383175,143.792870807,113.089828605,107.03277966,27.0145200582,88.4030486122,51.2314714417,37.5457558783,109.275398745,126.635626363,46.1065905827,48.2674994689,58.3934647057,27.0658629345,69.7088747145,94.7434133842,107.925997534,78.6052773215,70.1159139125,40.6070806416,58.4014904777,65.3606586569
2016-01-26,94.4309804006,52.2690123536,117.476618684,54.2694428918,21.3354230096,73.8482420077,91.936027269,24.8355010973,146.961414083,113.545124111,107.479918566,27.3248219778,92.7865192799,52.5384906556,37.4745115598,110.402988849,133.272559314,46.5864902883,48.6216537419,58.7878851427,27.2167218427,71.4867458197,95.8293243722,108.478097363,79.2996702307,70.2527445223,41.6604644048,58.9077287719,67.7637539738
2016-01-27,88.2262445147,51.7282002817,106.98714324,53.4988828508,21.0745767755,73.1195919736,90.0738141894,24.5635475353,146.2668085,112.959744174,106.050827553,27.2061771262,93.6852224712,52.501673213,37.4834170996,110.806354415,133.981357978,45.6085814543,47.7362680594,57.3160235118,27.0836110414,71.4776750488,95.8850121152,106.926506465,79.4478073847,69.3047038686,42.3339392698,58.8617071088,66.5180317691
2016-01-28,88.8589953585,50.1721795836,108.299474814,56.0307229857,20.7822490994,75.4284469008,89.3193791469,24.7477741419,149.44486692,113.619458071,107.155523673,27.3522015589,93.7860973192,52.7225778689,37.9108830109,112.190631698,135.61067439,44.5491802174,48.5144754751,58.8744652387,26.7996413319,72.4028936852,96.9616418127,106.022205022,80.0403560006,67.7604727007,42.3166706835,59.1102240895,68.0199663422
2016-01-29,91.9283091529,50.7604313109,110.245029314,57.094829709,21.3983858937,75.9112872849,91.5062857891,25.5285440457,153.726682157,116.852985337,109.408753062,28.3104868988,95.776082957,54.7659459357,38.2225769046,113.474067589,138.998179696,45.880222797,51.3430497344,59.6536861021,27.0569888811,74.099127852,99.3469334702,109.620372871,81.1884189438,72.8036580337,43.145562825,61.0799512703,68.779768538
2016-02-01,91.0689012905,51.8989830413,111.557360888,57.5168030649,21.1195502641,74.8753751882,90.8664484745,25.1250000504,151.909289468,117.549866213,109.44382278,28.1279563579,95.7118898719,54.1768668534,38.2938212231,114.234961725,136.908604412,45.9526604885,50.9888954614,60.759987328,26.7730191717,73.5820939081,99.3190895987,110.315257138,81.0680575062,72.6961482689,43.8276719832,62.1292451891,67.4015226944
2016-02-02,89.2273130138,50.9122382083,107.849794764,55.654616299,20.5348949119,71.3199141786,88.9278369096,24.7740922285,144.344749216,116.397689831,107.786778599,27.1970505991,94.8315275621,52.4924688523,37.7951109933,113.629913376,136.11695915,45.6448003,49.3952012329,60.1731666778,26.7463970114,72.765724523,98.4095231301,108.401945663,79.0867230719,71.7383340002,43.0937570662,61.5401679014,65.8995881214
2016-02-03,90.9933489509,51.3391951072,111.841852348,58.0396830927,20.7777517505,74.2871878113,90.8568986639,25.1513181371,145.277233423,115.022511568,109.347381055,27.0145200582,95.5009697352,52.8422345574,38.0444661082,111.356398369,140.39736667,45.3188306886,48.6123338926,60.1154466138,26.5955381032,73.5639523662,99.2077141128,107.326302893,79.5866859666,72.6961482689,43.7067918792,60.9971122767,69.3363678209
2016-02-04,91.7205402191,51.5953692465,113.438675381,60.5073098909,21.1735184505,74.4364293846,91.1338431731,25.5987256101,148.902503657,112.532323904,111.916237906,27.4104383821,95.2808791578,53.7534662629,37.8752608516,110.613839031,141.244242997,43.9968428204,48.463216304,57.8836041407,25.994964779,73.2011215284,99.7645915426,108.706552465,81.586537545,72.0119952198,43.5427403095,61.135177266,70.5290805702
2016-02-05,89.2708611946,51.2158520031,112.475075275,60.654083232,20.5888630982,72.7596564146,89.6727221414,25.037273095,148.883473367,108.183787236,112.722841423,26.7382979717,92.1996110733,53.1551828199,37.7951109933,105.79178704,141.271858529,44.712165023,46.7483640348,54.9976009427,26.0218561219,73.6546600757,98.650836683,106.345849749,81.3272975256,69.9204416127,44.0089921391,61.669028558,70.7499533015
2016-02-08,90.2108543087,49.7167588914,109.639337819,59.2413898234,20.6248418891,75.4898993133,87.9728558431,24.7126833597,142.013538698,103.928168018,112.468585966,26.5357351083,93.5384954195,52.0414551799,37.9821273295,106.387667989,141.66768116,44.2141558946,46.0493753381,52.9485386722,25.6005584169,74.9427095499,98.0104276388,104.727626113,80.3458888806,66.2357887629,43.8104033969,61.5769852318,71.7041235009
2016-02-09,90.1918645488,49.9349813064,109.09788633,58.645123125,20.3729903528,72.7947720789,88.1638520564,24.8091830107,141.0620242,105.795808766,109.891143966,26.5265277054,93.5109840974,51.7285069174,38.5609874177,107.267738315,142.440916067,44.5129613717,45.9282172973,53.5642193544,26.0846025886,74.9608510918,98.3074289347,105.812787846,80.7717831983,66.7831112021,43.3009801016,60.5737129762,71.394901677
2016-02-10,89.5082331931,49.6123916495,107.785554757,57.0030963708,20.2470645846,72.9001190718,84.8500677558,24.8267284018,140.091479413,106.232520782,106.454554633,25.9924983382,93.2908935199,51.1026103924,37.8930719313,107.753610474,141.354705127,44.8479856944,46.3289708167,55.2284811986,26.434190046,74.0356324554,98.1218031247,107.31678393,80.5125431788,68.5619091296,43.1541971182,60.5553043109,70.7440740268
2016-02-11,88.9670250366,48.4928157813,100.449171174,56.3334430018,22.1989139914,72.8562244914,86.2443401128,24.0810492802,133.868574602,105.24759581,104.381972406,25.9832909353,93.2633821977,48.8475420304,37.7683943738,107.011051137,139.704253338,44.2322653175,46.3103311182,53.8720596955,26.1114939315,72.4754598528,96.311951478,105.298763867,78.3830715906,66.9199418119,42.6447738229,60.1227006778,70.9669602084
2016-02-12,89.2423765548,49.9634450997,100.625170275,57.9296030868,22.5856859937,74.9982800132,87.0465242087,24.7916376196,139.044813467,108.08157804,107.207415698,26.3700018564,93.3734274865,52.9158694427,38.3917821612,108.111139043,142.754807486,44.3952501231,47.0652389106,54.2761001432,26.3176608935,73.4641738858,99.7645915426,106.441039375,79.5774273944,68.8257967343,43.266442929,60.9142732832,72.2418691669
2016-02-16,91.7585197389,50.4568175162,104.302625177,59.8193098542,23.2422989278,75.3933312365,88.7272908856,25.3179993525,141.794690363,110.971310741,108.713137829,26.4989054967,93.8319495228,53.7074444596,38.6144206566,109.257063946,144.210543052,45.0743534801,47.9506245931,55.5940416037,26.7210310366,73.8995708912,99.6532160566,109.610853908,80.0681317169,69.4904025533,43.3786887398,60.6565519698,72.4112626649
2016-02-17,93.16376197,50.8647985529,107.767028536,61.6998432877,23.7999701869,78.5047173859,91.2006918478,25.7390887388,143.621598198,112.625241354,111.689153334,27.1342162957,93.9970174559,54.0940276074,38.7301926743,108.762024388,145.221212968,45.8168398171,49.1988988289,55.9596020087,26.5596829794,74.7885064438,101.333129636,112.609327115,82.1790861609,70.5361793569,43.447763085,60.8498429548,73.1066675514
2016-02-18,91.3977143012,51.3771468315,108.906391138,60.654083232,23.7729860938,77.1001487813,90.8855480959,25.5109986546,140.567236662,111.473064972,117.313468351,27.0881792812,95.5926741425,53.2104089839,38.8370591521,107.414416702,145.369568185,45.5633078971,48.9830318558,56.3732624671,26.4879727317,74.3621802094,101.02684705,111.800215297,82.4029057328,69.7625630624,43.9830892597,59.0181807633,73.5078626782
2016-02-19,91.1888269425,51.9084709723,106.673981487,60.0119498645,23.8809224665,76.895686263,90.7327511252,25.4583624813,139.786994774,113.071245115,117.871471259,26.4344536766,96.2070936712,53.2196133446,38.9795477892,106.827703152,145.06358555,45.3822136686,48.6357675947,57.056283224,26.434190046,74.1898355614,100.321468972,112.019151436,82.2816701314,70.0465487907,43.9140149146,59.5152147248,73.5524399145
2016-02-22,91.9863968574,52.7813606323,108.739655147,61.7457099569,23.9528800483,78.9580907962,92.0315253756,25.8004976077,141.575842029,114.149087537,118.4826173,27.0237274611,96.7520455267,53.9099403942,39.1309419662,107.872786664,146.222610682,45.9707699113,49.414765802,57.8836041407,26.9361617796,74.4982417736,101.490911575,115.436458996,86.1425577472,71.5448183231,44.0953350705,60.408034989,73.4543699946
2016-02-23,89.9070181506,52.2879882158,108.285762728,60.3421898821,23.4941504642,75.4822279837,91.0860941198,25.6338163922,137.88396578,115.7101007,117.269182406,26.5173203025,96.1332018942,51.6548720321,38.9083034707,107.166896923,144.80396392,45.7625115485,48.0350942782,57.9220841834,26.855487751,74.2079771033,100.154405743,115.322231446,85.4244699539,70.6536906928,43.7154261723,61.1904032618,72.4201781122
2016-02-24,91.2457962221,51.8420554547,107.072295242,60.4339232203,23.6740444188,75.8022562733,91.1338431731,25.405726308,138.502450203,116.713609161,117.623469966,26.8764090149,96.9460114414,51.6732807534,39.1042253467,107.313575311,145.777545031,45.7806209714,48.2040336485,58.1048643859,26.9092704368,73.9812078297,100.683439302,114.417930002,87.2989588688,70.3599123531,43.879477742,61.7794805495,72.6787260828
2016-02-25,91.8724582982,52.5536502862,108.211657844,60.9751499158,23.9258959551,75.8289252975,91.3439390078,25.8443610854,141.0620242,117.875077289,119.129192097,27.2723273389,98.2575904833,52.474060131,39.3268638422,108.514504609,147.418724618,46.1790282741,48.8985621707,60.0096264966,27.4202059514,74.6887279634,101.416661251,115.369826258,91.4582725806,71.7504631609,44.1298722431,62.6262791506,73.1155829986
2016-02-26,92.0148814973,52.5441623551,109.452914662,61.3420832687,23.7549966983,74.9844061998,91.0192454452,25.9946704041,142.965053195,117.317572587,116.941466413,27.4380605908,97.7034021557,52.961891246,38.4184987806,108.129473842,146.751126142,45.8530586628,48.147720525,60.2212667311,27.0975098369,73.5639523662,100.664876721,115.493572772,91.1038915917,71.2216621495,44.0521636048,61.2180162596,72.8837813698
2016-02-29,91.8059941386,52.7339209768,109.471440883,62.1034699759,23.5481186506,74.1754458009,91.2197914691,25.7647855638,142.89844718,115.329139154,116.055747513,27.2447051303,97.1769232445,51.820550524,38.4095932408,108.249556121,145.453017994,45.4637060714,47.7535286611,59.2496456544,26.5955381032,72.8292199196,99.792435414,113.37084412,90.1060293335,70.8887133645,43.8017691038,61.0615426051,71.4573098078
2016-03-01,95.4520280355,53.8914485694,111.120274567,63.3785633772,24.1327740029,76.5667682986,93.2539011407,26.4190731862,147.791378696,116.797234867,119.01404864,27.9628825551,99.033454142,54.4898151159,38.9083034707,109.782914455,147.975056682,46.8581316311,49.349067158,60.5291070722,26.9271979987,73.6818723885,102.214852234,115.817217499,88.6418763004,73.0920509121,44.432072503,61.1719945965,72.4647553485
2016-03-02,95.6609153942,54.1950623641,110.833118139,63.644590058,24.1957368869,77.4646254445,92.6331634475,26.684324925,147.361335887,116.695025671,120.723486118,28.1194084041,98.8671976437,55.0052593129,38.9795477892,109.441141814,147.808157063,47.3289766252,49.6963314191,59.855706326,26.8734153129,74.8792141533,102.279821267,115.436458996,89.0895154443,72.7591021271,45.0019358503,60.941886281,73.7307488597
2016-03-03,96.3730313897,55.1153916795,110.796065697,65.8186701739,24.1687527938,77.8113227583,94.3712289885,26.7196918235,148.441221163,117.819326818,122.052064468,28.1562380157,98.5069752308,55.1893465261,39.1487530458,107.787701201,147.78034046,47.175046531,49.1332001849,59.2881256971,26.7927412843,75.1422665107,101.908569647,115.960001937,89.6304127431,72.3771902855,44.8033471081,60.8774559527,73.4632854419
2016-03-04,97.8067582606,55.3051503012,112.148479842,66.8185635605,24.1057899097,78.1669097468,94.0465354259,26.9318932146,149.8842537,116.667150436,122.052064468,28.2022750301,98.3684281489,55.2721857721,39.2823361431,108.240319023,148.420122333,47.1569371081,48.8328635267,59.0855796356,26.6313932271,75.7318666221,102.465447077,115.940964012,90.4604103224,72.3673976742,44.734272763,61.4665332404,73.365215522
2016-03-07,96.7243419474,55.9787934083,113.843629079,68.5890169882,24.4116096324,80.6026806181,94.9155681964,26.7815838959,148.460334176,117.233946882,124.133503884,28.4877045194,98.5901034799,55.1709378048,39.1932807449,108.212607727,148.883732386,47.664000948,47.8943114697,57.1469244762,26.7031034747,75.3781065553,102.474728367,115.902888162,90.3858037984,70.448045855,45.0796444886,62.4882141613,75.2998675779
2016-03-08,95.9267720325,56.386774445,113.334157997,65.8003235062,24.3306573529,78.8869733985,93.416247922,26.5782242295,144.876644101,118.386123264,123.176927472,28.1378232099,98.1098069293,54.1032319681,39.4693524793,109.385719224,148.540660946,47.4919614309,48.476213745,57.6870473067,26.3176608935,75.3418234715,103.44926387,115.807698536,90.3671521674,69.1554211604,45.2955018171,62.6262791506,73.6683407289
2016-03-09,96.012225952,56.0262330637,113.806576637,65.9287501798,24.8343604256,82.5139606812,93.2634509514,26.5693825048,143.261594441,117.741501855,124.363790798,28.4186489978,98.6824682012,54.4161802306,39.9057239304,110.512645228,148.438666735,47.4104690281,49.5930906929,56.2595798261,26.6582845699,75.251115762,103.89721738,115.750584761,90.0873777025,69.2141768283,45.1918902994,62.617074818,73.4632854419
2016-03-10,96.0597003517,55.7415951312,113.880681521,65.4609101548,24.6274823779,83.509604249,92.6713626902,26.4721235339,144.322366703,117.610709105,124.16893264,28.7731340088,98.959562365,53.9467578368,40.2797566029,110.826706574,148.253222714,48.0261894051,48.8516345678,56.790057606,26.5238278556,74.6343033378,104.083864676,116.69685296,89.6956934516,68.7637167075,45.1746217132,62.5058050271,73.2671456021
2016-03-11,97.0946422651,56.4152382383,115.44614721,66.7818702252,25.0592278688,84.0785434306,93.53084565,26.825792519,147.112866708,120.011690298,126.090942654,29.2427115558,99.4860412762,54.6186761651,40.5647338771,112.276931022,150.098390724,48.5875815135,49.808957666,57.9474636714,27.3395319228,74.1535524777,106.05299365,119.573890616,90.2272649349,70.144474904,45.3559418691,62.2832654453,73.2760610494
2016-03-14,97.3415091435,56.5196054802,117.03013912,66.7176568885,24.9153127051,83.7940738398,94.3616791778,26.7639004466,146.682823899,120.36669919,126.462944592,28.9388672607,99.4398589156,54.4161802306,40.6455043649,113.523939306,150.033485317,48.477985465,49.9028128717,58.6515523611,26.9809806844,73.6274477628,105.287739736,119.688589792,90.3018714589,70.0073783455,45.3645761623,62.4594426142,73.4722008891
2016-03-15,99.2974544111,56.1970158233,117.048665341,66.4516302076,24.8793339142,83.8029635145,93.8173399699,26.7727421713,145.287573897,121.179482707,126.622373994,29.1414301241,99.5322236368,54.4898151159,40.6006318717,114.013505521,150.58981738,47.8752071981,50.2970047356,59.2206103433,26.4790089508,73.7544385561,106.314299865,119.334934,89.7982774221,70.418668021,45.4768219731,63.1363338421,73.8377342269
2016-03-16,100.617242723,56.6429485843,118.169501722,68.1945636338,25.0772172642,84.8074967571,94.0083361832,26.6754832004,143.863654373,121.870815813,128.243239582,29.1782597356,99.2089471124,54.2320930173,40.4301163974,114.096639407,151.034883031,47.436823004,51.010304299,59.6642826683,26.0308199029,73.7816508689,107.02355959,119.382725323,90.9173752817,70.8691281418,45.9430738027,63.0436090163,73.8823114632
2016-03-17,100.455829764,57.0034899656,121.068855335,69.6256037101,25.3560528938,86.1320582892,95.1161142203,27.3739794459,146.128546501,122.272536402,130.236107107,29.4452744192,98.5901034799,54.0756188861,41.0762802999,113.764103864,151.832292322,47.0623698382,51.3012554366,60.9374293402,26.2997333316,75.0606295722,108.096781543,119.029069532,92.1763603738,71.6231592137,46.3057141146,62.5428949574,74.9789114765
2016-03-18,100.569768323,58.0851141094,124.088629385,69.2311503557,25.481978662,86.8432322662,94.7341217937,27.3386125474,150.610548221,122.711626348,130.280393052,30.089792621,99.2920753615,55.6679732805,40.9237138229,114.613916917,153.297300089,47.7199461293,50.2031495299,60.7541733798,26.3983349221,75.42346041,108.031454989,121.122329487,92.3722024993,72.2498863383,45.9689766821,62.0792708287,75.0680659491
2016-03-21,100.560273443,58.0756261783,125.848620396,69.6164303763,25.3560528938,85.7320229272,94.0274358045,27.4889218661,149.358645822,122.393986812,131.644400159,29.776740923,99.0888729747,55.6495645592,40.9865353134,114.36451526,152.842962237,48.2222613517,50.550413791,62.422767124,26.9540893416,75.5776635161,108.283428839,121.141446016,92.4841122853,72.240093727,46.1416625449,63.0250640512,74.5509700079
2016-03-22,101.329358718,57.5063503132,125.163150213,69.3045370263,25.4370051733,84.8963935042,93.187052466,27.4623966922,147.361335887,122.001608563,131.174969142,29.7583261173,99.181237696,55.4470686246,40.8339688364,114.373752359,152.907867645,48.4323204448,50.747509723,62.5963780338,27.2319665513,75.0515588012,108.311425933,122.36490389,92.0084956949,71.4468922099,45.9430738027,62.9323392255,74.996742371
2016-03-23,100.769160802,57.5253261754,123.069687221,67.5891236016,25.0322437756,83.1984656341,92.4708166662,27.4712384168,147.246657804,121.65594201,128.783528111,29.463689225,100.215722574,55.1709378048,40.7980708419,114.715524999,152.314446777,48.477985465,50.6536545173,60.2236955999,27.0616547131,75.1241249688,108.152775731,124.056716731,92.4281573923,72.3771902855,45.6840450085,62.5521674399,74.6668708223
2016-03-24,100.332396325,57.373519278,122.384217037,69.0660303469,25.1491748461,84.3185646479,92.8432592821,27.5066053153,146.214555063,121.880158152,131.042111307,29.3532003904,100.040229604,54.7475372144,40.9057648256,113.884186144,152.490618597,48.4688524609,50.878907011,59.4617366069,26.9630531225,75.1876203654,107.686157491,122.909724974,92.3815283148,72.602420346,46.2452740626,63.0528814989,74.8719261093
2016-03-28,99.8766420875,57.1932485873,121.615378859,69.0935503484,25.0952066597,84.1674401778,93.6740928099,27.8425908512,147.01730164,122.459383187,131.440684812,29.3716151962,99.9663378268,54.6739023291,41.1032037958,113.773340963,154.17815919,48.2496603639,50.2500771328,59.16274004,26.6941396938,74.9427095499,108.488740864,123.225147707,92.2416410823,72.543664678,46.1071253724,63.1641512898,75.0858968436
2016-03-29,102.240867193,57.4968623821,121.235591325,69.7265103821,25.2751006142,84.7363793594,93.7409414846,27.8337491265,148.154525957,123.757968346,132.264403389,29.8135705346,100.80685679,54.3333409846,41.7134697037,114.512308835,152.42571319,48.697177562,51.3481830395,59.3074157982,26.9361617796,75.1059834269,108.638058701,124.094949789,93.3700647575,73.81670415,46.6683544265,63.0806989466,75.3622757087
